TSX,Allana Potash Corp, AAA ," 94,315,252 "," 325,225,006 ",Mining,TSXV Grad,20110909,ON,Canada,,,1,,,,,,,,Agriculture,,,,C,,,,,,," 88,418,826 "," 35,135,732 "," 20,612 ",10,Ethiopia,,,,Argentina,,,,,,,,,,,,,,,,1,,,,,,,
TSX,Allbanc Split Corp., ABK ," 89,107,726 "," 2,059,104 ",Structured Products,,19980225,ON,Canada,,,,,,,,,,,,,,,C,Scotia,Other SPI,Split Shares,Split Share Corp.,,," 449,048 "," 19,927,809 "," 1,187 ",10,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TSX,Allbanc Split Corp. II, ALB ," 57,952,251 "," 2,759,631 ",Structured Products,IPO,20060208,ON,Canada,,,,,,,,,,,,,,,C,Scotia,Other SPI,Split Shares,Split Share Corp.,,," 350,113 "," 6,790,465 ", 936 ,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TSX,Allied Nevada Gold Corp., ANV ," 162,603,873 "," 104,233,252 ",Mining,Other,20070509,USA,USA,TSX-NYSE MKT,,,,,,,,,,,Sparks,NV,,U,,,,,,," 52,042,444 "," 228,370,277 "," 195,419 ",10,,,,,,,,NV,,1,,,,,,,,,,,,,,,,,,
TSX,Allied Properties Real Estate Investment Trust, AP ," 2,655,936,669 "," 74,667,885 ",Real Estate,IPO,20030219,ON,Canada,,,,,1,,,,Industrial/Office/Retail/Residential,,,,,,C,,Income Trust,,REIT,,," 25,919,994 "," 895,268,816 "," 143,664 ",10,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TSX,Almaden Minerals Ltd., AMM ," 88,659,534 "," 68,728,321 ",Mining,TSXV Grad,19900518,BC,Canada,TSX-NYSE MKT,,1,,,,,,,,,,,,C,,,,,,," 6,774,958 "," 10,703,198 "," 16,172 ",10,,,"BC,NWT,YT",,Mexico,,,NV,,1,1,1,,,,,,,,,,,,,,,,
TSX,AltaGas Ltd., ALA ," 7,015,195,994 "," 165,128,516 ",Diversified Industries,TSXV Grad,20000117,AB,Canada,,,1,,1,,,Industrial Products and Services,,,Energy Services,,,,C,,,,,,2004_2010," 71,452,079 "," 3,206,548,350 "," 419,676 ",10,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TSX,Alter NRG Corp., NRG ," 62,686,093 "," 28,236,979 ",Clean Technology,TSXV Grad,20081117,AB,Canada,TSX-OTCQX,,1,,,Renewable Energy Equipment Manufacturing and Tech,,,,,,,,,C,,,,,,," 22,268,653 "," 23,696,042 "," 11,078 ",10,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TSX,Alterra Power Corp., AXY ," 149,947,834 "," 468,586,981 ",Clean Technology,IPO,20090706,BC,Canada,,,,,,Renewable Energy Production and Distribution,,,,,,,,,C,,,,,,," 77,180,339 "," 23,816,470 "," 7,519 ",10,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TSX,Altius Minerals Corporation, ALS ," 341,228,691 "," 32,313,323 ",Mining,TSXV Grad,20070115,NL,Canada,,,1,1,,,,,,,,,,,C,,,,,,," 11,805,272 "," 161,649,012 "," 48,592 ",10,,,,,,,,,,,,,,,,,,,,,,,,,,,,Royalty company with various properties
TSX,Altus Group Limited, AIF ," 718,612,198 "," 32,211,294 ",Diversified Industries,IPO,20050518,ON,Canada,,,,,,,,Industrial Products and Services,,,,,,,C,,,,,,2011," 20,784,800 "," 518,780,930 "," 76,060 ",10,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TSX,Amaya Gaming Group Inc., AYA ," 4,499,360,216 "," 130,774,926 ",Technology,TSXV Grad,20131001,Quebec,Canada,,,1,,1,,Software,,,,,,,,C,,,,,,," 126,273,272 "," 2,644,526,863 "," 393,867 ",10,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TSX,American Core Sectors Dividend Fund, ACZ ," 43,396,376 "," 4,784,606 ",Structured Products,IPO,20131219,AB,Canada,,,,,,,,,,,,,,,C,Middlefield,Other SPI,Fund of Equities,FI Trust,,," 2,046,682 "," 18,686,938 "," 2,952 ",10,,,,,,,,,,,,,,,,,,,,,,,,,,,,
